"","Year","World GDB in trillions of $"
"55",1965,0.2
"54",1966,0.21
"53",1967,0.23
"52",1968,0.24
"51",1969,0.27
"50",1970,0.25
"49",1971,0.28
"48",1972,0.32
"47",1973,0.38
"46",1974,0.44
"45",1975,0.48
"44",1976,0.53
"43",1977,0.6
"42",1978,0.7
"41",1979,0.8
"40",1980,0.9
"39",1981,0.97
"38",1982,0.97
"37",1983,1.01
"36",1984,1.06
"35",1985,1.12
"34",1986,1.28
"33",1987,1.43
"32",1988,1.6
"31",1989,1.68
"30",1990,1.84
"29",1991,1.94
"28",1992,2.05
"27",1993,2.14
"26",1994,2.31
"25",1995,2.55
"24",1996,2.61
"23",1997,2.65
"22",1998,2.62
"21",1999,3.25
"20",2000,3.36
"19",2001,3.35
"18",2002,3.48
"17",2003,3.9
"16",2004,4.39
"15",2005,4.75
"14",2006,5.15
"13",2007,5.8
"12",2008,6.37
"11",2009,6.05
"10",2010,6.61
"9",2011,7.35
"8",2012,7.52
"7",2013,7.73
"6",2014,7.94
"5",2015,7.52
"4",2016,7.64
"3",2017,8.14
"2",2018,8.63
"1",2019,8.76
b = -145.334778112626
a = 0.0732366244756064
