"","Year","World population in billions"
"7",1971,3.78
"8",1972,3.85
"9",1973,3.93
"10",1974,4
"11",1975,4.08
"12",1976,4.15
"13",1977,4.23
"14",1978,4.3
"15",1979,4.38
"16",1980,4.46
"17",1981,4.54
"18",1982,4.62
"19",1983,4.7
"20",1984,4.78
"21",1985,4.87
"22",1986,4.96
"23",1987,5.05
"24",1988,5.15
"25",1989,5.24
"26",1990,5.33
"27",1991,5.41
"28",1992,5.5
"29",1993,5.58
"30",1994,5.66
"31",1995,5.74
"32",1996,5.82
"33",1997,5.91
"34",1998,5.98
"35",1999,6.06
"36",2000,6.14
"37",2001,6.22
"38",2002,6.3
"39",2003,6.38
"40",2004,6.46
"41",2005,6.54
"42",2006,6.62
"43",2007,6.71
"44",2008,6.79
"45",2009,6.87
"46",2010,6.96
"47",2011,7.04
"48",2012,7.13
"49",2013,7.21
"50",2014,7.3
"51",2015,7.38
"52",2016,7.46
"53",2017,7.55
"54",2018,7.63
"55",2019,7.71
b = -159.187505102041
a = 0.0826622448979592
